plate_text,plate_count,detection_count,max_confidence,bbox_summary,raw_plate_text,high_conf_detection,all_unique_plates,unique_plate_count,frame_plate_text,image
"[""51A-554.3N""]",[1],1,0.892375111579895,,"[""51A5543N""]",False,"[""51A-554.3N""]",[1],"[""51A-554.3N""]",CarLongPlateGen935.jpg
"[""61A-691.72""]",[1],1,0.9136765599250793,,"[""61A69172""]",True,"[""61A-691.72""]",[1],"[""61A-691.72""]",CarLongPlateGen939.jpg
"[""61F-356.13""]",[1],1,0.9290551543235779,,"[""G1F 35613""]",True,"[""61F-356.13""]",[1],"[""61F-356.13""]",CarLongPlateGen945.jpg
"[""61F-244.03""]",[1],1,0.9213575720787048,,"[""61F-24403""]",True,"[""61F-244.03""]",[1],"[""61F-244.03""]",CarLongPlateGen95.jpg
"[""51F-155.85""]",[1],1,0.8964328765869141,,"[""51F-15585""]",False,"[""51F-155.85""]",[1],"[""51F-155.85""]",CarLongPlateGen961.jpg
"[""60M-359.81""]",[1],1,0.9094254970550537,,"[""G0M-35981""]",True,"[""60M-359.81""]",[1],"[""60M-359.81""]",CarLongPlateGen965.jpg
"[""502-061A""]",[1],1,0.9032942056655884,,"[""502-061A""]",True,"[""502-061A""]",[1],"[""502-061A""]",CarLongPlateGen995.jpg
"[""51G-205.36""]",[1],1,0.9068183302879333,,"[""S1G20536""]",True,"[""51G-205.36""]",[1],"[""51G-205.36""]",CarLongPlateGen999.jpg
[],[],0,0.0,,[],False,[],[],[],boderngoaigiao1.jpg
"[""L1-291-NG-01""]",[1],1,0.9495759606361389,,"[""L1-291-NG-01""]",True,"[""L1-291-NG-01""]",[1],"[""L1-291-NG-01""]",boderngoaigiao3.jpg
"[""41-501-NG-08""]",[1],1,0.8980534672737122,,"[""41-501-NG-08""]",False,"[""41-501-NG-08""]",[1],"[""41-501-NG-08""]",boderngoaigiao5.jpg
"[""51NG-708.33""]",[1],1,0.8938665986061096,,"[""51NG\n708-33""]",False,"[""51NG-708.33""]",[1],"[""51NG-708.33""]",boderngoaigiao9.jpg
[],[],0,0.0,,[],False,[],[],[],boderquandoi1.jpg
[],[],0,0.0,,[],False,[],[],[],boderquandoi103.jpg
[],[],0,0.0,,[],False,[],[],[],boderquandoi105.jpg
[],[],0,0.0,,[],False,[],[],[],boderquandoi107.jpg
[],[],0,0.0,,[],False,[],[],[],boderquandoi15.jpg
"[""51F-630.63"", ""US135-D""]","[1, 1]",2,0.0,,"[""51F\n630.63"", ""US\n135-D""]",False,"[""51F-630.63"", ""US135-D""]","[1, 1]","[""51F-630.63"", ""US135-D""]",boderquandoi59.jpg
[],[],0,0.0,,[],False,[],[],[],boderquandoi67.jpg
[],[],0,0.0,,[],False,[],[],[],boderquandoi71.jpg
"[""KAMAZ""]",[1],1,0.4069209098815918,,"[""KAMAZ""]",False,"[""KAMAZ""]",[1],"[""KAMAZ""]",boderquandoi75.jpg
[],[],0,0.0,,[],False,[],[],[],boderquandoi85.jpg
[],[],0,0.0,,[],False,[],[],[],boderquandoi91.jpg
"[""80-NG""]",[1],1,0.9470881819725037,,"[""80-NG""]",True,"[""80-NG""]",[1],"[""80-NG""]",brightnessngoaigiao15.jpg
"[""41-501-NG-08""]",[1],1,0.94629967212677,,"[""41-501-NG-08""]",True,"[""41-501-NG-08""]",[1],"[""41-501-NG-08""]",brightnessngoaigiao5.jpg
[],[],0,0.0,,[],False,[],[],[],brightnessquandoi103.jpg
[],[],0,0.0,,[],False,[],[],[],brightnessquandoi109.jpg
"[""081750"", ""081750""]","[1, 1]",2,0.0,,"[""081750"", ""081750""]",False,"[""081750"", ""081750""]","[1, 1]","[""081750"", ""081750""]",brightnessquandoi11.jpg
[],[],0,0.0,,[],False,[],[],[],brightnessquandoi19.jpg
