epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.655,1.5075,1.1571,0.0079,0.81936,0.85946,0.88582,0.53217,1.36688,0.71264,0.01091,0.00149457,0.00149457,0.0516757
2,241.066,1.50834,0.76915,0.008,0.92238,0.85706,0.95209,0.5716,1.36408,0.57945,0.01054,0.00299383,0.00299383,0.00317499
3,344.999,1.408,0.6423,0.00729,0.91033,0.93086,0.96245,0.60166,1.28345,0.57944,0.01008,0.00299707,0.00299707,0.00299707
4,449.244,1.36359,0.5693,0.00696,0.96898,0.95484,0.99048,0.67907,1.16827,0.35671,0.00862,0.00299341,0.00299341,0.00299341
5,553.591,1.32283,0.55446,0.0068,0.95716,0.94132,0.98484,0.64617,1.24171,0.41825,0.00942,0.00298829,0.00298829,0.00298829
6,657.885,1.30097,0.5325,0.00656,0.92472,0.94612,0.98114,0.66429,1.17983,0.47467,0.00909,0.00298172,0.00298172,0.00298172
7,762.187,1.28865,0.49483,0.00647,0.95788,0.94743,0.98119,0.66505,1.19849,0.42833,0.00893,0.0029737,0.0029737,0.0029737
8,866.242,1.28221,0.48594,0.00644,0.96328,0.96218,0.98955,0.67875,1.15717,0.35733,0.00862,0.00296424,0.00296424,0.00296424
9,970.555,1.28105,0.48465,0.00645,0.9657,0.96088,0.99096,0.6859,1.15122,0.35422,0.00835,0.00295335,0.00295335,0.00295335
10,1074.89,1.24991,0.45524,0.00614,0.95875,0.978,0.99142,0.66615,1.19641,0.36786,0.00859,0.00294104,0.00294104,0.00294104
11,1178.93,1.26456,0.45691,0.00627,0.96674,0.98166,0.99217,0.69559,1.1132,0.3209,0.00839,0.00292732,0.00292732,0.00292732
12,1283.44,1.25412,0.4641,0.00625,0.97598,0.97188,0.99249,0.69761,1.09806,0.33454,0.00813,0.00291221,0.00291221,0.00291221
13,1387.67,1.22364,0.4559,0.00608,0.9733,0.98041,0.99129,0.68665,1.123,0.36757,0.00831,0.00289572,0.00289572,0.00289572
14,1492.1,1.22586,0.43553,0.00607,0.97951,0.97188,0.99352,0.70308,1.10679,0.30229,0.00818,0.00287787,0.00287787,0.00287787
15,1597.07,1.21686,0.4297,0.006,0.96879,0.98666,0.99382,0.70512,1.10402,0.29893,0.00794,0.00285867,0.00285867,0.00285867
16,1702.13,1.19494,0.41151,0.00589,0.97534,0.97922,0.99367,0.69566,1.12651,0.32283,0.00822,0.00283814,0.00283814,0.00283814
17,1806.76,1.20009,0.42737,0.00588,0.98389,0.97051,0.99336,0.68059,1.1169,0.31339,0.0082,0.00281632,0.00281632,0.00281632
18,1910.68,1.20236,0.42817,0.00589,0.97958,0.98533,0.99303,0.70278,1.09474,0.29549,0.00794,0.0027932,0.0027932,0.0027932
19,2014.53,1.20689,0.41544,0.006,0.98784,0.9932,0.99468,0.69867,1.11113,0.28203,0.00812,0.00276883,0.00276883,0.00276883
20,2118.84,1.18853,0.40208,0.00585,0.97784,0.97089,0.99097,0.68612,1.14323,0.30977,0.00857,0.00274321,0.00274321,0.00274321
21,2223.01,1.19419,0.4229,0.00588,0.97465,0.98166,0.99371,0.7054,1.09767,0.29845,0.00799,0.00271639,0.00271639,0.00271639
22,2327.1,1.18657,0.41188,0.00587,0.97554,0.97524,0.99243,0.70302,1.11205,0.29997,0.0082,0.00268838,0.00268838,0.00268838
23,2431.16,1.17383,0.40827,0.00583,0.97809,0.98247,0.99428,0.71021,1.07912,0.28724,0.00777,0.00265921,0.00265921,0.00265921
24,2535.76,1.17301,0.40894,0.00574,0.96857,0.97935,0.99302,0.70057,1.12139,0.30785,0.00822,0.00262891,0.00262891,0.00262891
25,2640.44,1.16548,0.39246,0.00573,0.9916,0.98533,0.99387,0.71055,1.07895,0.27819,0.00783,0.00259752,0.00259752,0.00259752
26,2745.63,1.16304,0.3864,0.00562,0.97098,0.9818,0.99159,0.70969,1.09397,0.2985,0.00793,0.00256505,0.00256505,0.00256505
27,2850.13,1.15737,0.37606,0.00563,0.9829,0.98382,0.99178,0.70948,1.08564,0.29593,0.00787,0.00253155,0.00253155,0.00253155
28,2954.32,1.15597,0.38937,0.00574,0.9865,0.9828,0.99367,0.70683,1.08937,0.29883,0.00795,0.00249705,0.00249705,0.00249705
29,3058.88,1.14518,0.37869,0.00565,0.98768,0.989,0.99458,0.71157,1.08416,0.27825,0.00782,0.00246157,0.00246157,0.00246157
30,3163.44,1.16614,0.37208,0.0057,0.97722,0.98778,0.99408,0.71612,1.06721,0.2842,0.00771,0.00242517,0.00242517,0.00242517
31,3268.26,1.15406,0.37183,0.00565,0.97719,0.98655,0.99336,0.71446,1.07825,0.29013,0.00783,0.00238786,0.00238786,0.00238786
32,3372.57,1.13465,0.37368,0.00552,0.99139,0.98586,0.99393,0.71568,1.06574,0.27808,0.00768,0.00234969,0.00234969,0.00234969
33,3476.98,1.1415,0.36451,0.00561,0.97923,0.97997,0.9918,0.71186,1.06363,0.28689,0.0077,0.0023107,0.0023107,0.0023107
34,3581.14,1.12086,0.35974,0.00555,0.98303,0.98166,0.99383,0.71321,1.06658,0.28808,0.00772,0.00227093,0.00227093,0.00227093
35,3685.73,1.13349,0.36583,0.0055,0.98303,0.99116,0.9946,0.71544,1.0814,0.2764,0.00779,0.0022304,0.0022304,0.0022304
36,3790.84,1.13095,0.36137,0.00551,0.97387,0.99022,0.99416,0.71881,1.05874,0.27238,0.0076,0.00218918,0.00218918,0.00218918
